pin_code,Total Schools,Total Public Schools,Total Private Schools
241001,2016,1471,545
244001,1587,824,763
247001,1370,547,823
207001,1226,536,690
262001,1216,899,317
283203,1205,531,674
244901,1188,617,571
486001,1140,522,618
250001,1138,381,757
452001,1104,136,968
202001,1083,476,607
476001,1059,522,537
231001,1023,619,404
244221,994,599,395
233001,979,418,561
491995,944,837,107
209801,917,560,357
205001,903,430,473
451666,884,816,68
242001,857,510,347
327001,850,699,151
494226,837,796,41
793119,830,640,190
271801,818,587,231
274304,805,572,233
454001,803,532,271
457661,781,722,59
497001,778,629,149
486886,768,570,198
281001,764,266,498
243001,745,376,369
262701,730,469,261
274001,718,375,343
486661,708,532,176
272175,695,401,294
793114,694,525,169
794103,693,630,63
783348,690,493,197
497223,687,638,49
282001,682,233,449
212601,683,290,393
261302,677,432,245
815353,676,614,62
793150,675,547,128
341001,675,470,205
783129,672,465,207
284403,672,434,238
244921,669,426,243
208001,666,349,317
486669,658,589,69
421302,656,462,194
494661,655,641,14
251001,652,236,416
201001,651,138,513
488001,651,473,178
457990,646,614,32
243601,643,410,233
787055,640,488,152
301001,638,220,418
209625,631,274,357
794002,627,550,77
431001,626,323,303
855101,619,563,56
793120,618,490,128
304001,615,384,231
493558,612,541,71
484881,608,585,23
454446,607,531,76
455001,606,260,346
243201,596,385,211
457001,592,388,204
483501,583,396,187
794104,583,411,172
497101,583,538,45
204101,583,286,297
855107,579,486,93
343041,578,452,126
201102,576,152,424
262802,575,428,147
272153,573,492,81
231216,572,406,166
334001,571,228,343
473001,569,347,222
121004,568,184,384
451441,565,532,33
474001,561,225,336
302012,560,102,458
491559,556,502,54
472001,554,380,174
496001,553,430,123
497225,552,514,38
484001,550,471,79
231211,549,432,117
493773,545,454,91
783330,540,319,221
497118,537,497,40
462001,537,304,233
242401,535,415,120
345001,534,392,142
276001,532,232,300
191111,529,434,95
486670,527,409,118
473551,526,362,164
431203,526,336,190
132103,525,151,374
210205,524,381,143
457888,521,505,16
342001,521,195,326
285001,521,184,337
475661,520,368,152
344001,518,404,114
182203,518,448,70
121102,518,262,256
815312,517,456,61
460330,516,502,14
476337,514,400,114
495445,513,474,39
261403,512,404,108
261301,511,414,97
230001,511,197,314
783337,509,329,180
491441,509,397,112
185121,509,438,71
203001,507,239,268
825401,505,375,130
473331,505,361,144
822113,503,473,30
476224,503,405,98
312605,501,413,88
344704,500,465,35
477001,498,226,272
210001,494,318,176
206242,494,276,218
204215,493,303,190
431122,492,430,62
457777,491,444,47
261201,491,274,217
845438,490,340,150
248001,488,167,321
243638,488,388,100
828109,486,429,57
495119,486,449,37
485001,486,180,306
262122,486,318,168
271604,485,360,125
193224,483,412,71
783384,481,358,123
484771,481,438,43
327801,481,418,63
242221,481,320,161
451332,479,448,31
224001,477,161,316
833201,477,453,24
476221,477,386,91
274401,477,349,128
344702,476,439,37
494442,471,458,13
209206,470,326,144
207123,467,245,222
225001,465,249,216
497333,464,425,39
495334,462,380,82
484774,462,381,81
464001,462,300,162
494001,461,391,70
